STATE,D,E,F,G,H,J,K,L,M,N,O,STATUS
AK,193,146,55,249,869,7560,4120,800,76,11.9,10922,PRIVATE
AK,1852,1427,928,3885,4519,5226,3590,650,67,10,11935,PUBLIC
AK,146,117,89,492,1849,5226,4764,500,39,9.5,9584,PUBLIC
AK,2065,1598,1162,6209,10537,5226,5120,580,48,13.7,8046,PUBLIC
AL,2817,1920,984,3958,305,3400,2550,500,53,14.3,7043,PUBLIC
AL,345,320,179,1367,578,5600,3250,350,52,32.8,3971,PRIVATE
AL,1351,892,570,2385,331,4440,3030,300,72,18.9,5883,PUBLIC
AL,7548,6791,3070,16262,1716,6300,3933,600,85,16.7,6642,PUBLIC
AL,805,588,287,1376,207,11660,4325,400,74,14,8649,PRIVATE
AL,1087,702,625,3772,1034,2970,2536,500,62,19.4,4944,PUBLIC
AL,608,520,127,538,126,8080,3920,500,63,11.4,7703,PRIVATE
AL,1627,1413,887,5160,1475,2610,2600,570,66,20.1,4604,PUBLIC
AL,1206,957,444,1627,132,1740,2449,570,58,18.8,4272,PUBLIC
AL,686,427,242,746,123,4000,2700,600,35,16.7,4455,PRIVATE
AL,452,331,269,1417,301,6150,3680,550,59,16.6,5412,PRIVATE
AL,949,605,385,1316,135,6639,3999,600,52,14.5,7986,PRIVATE
AL,1680,1395,691,2959,402,8236,3700,569,74,14.7,9533,PRIVATE
AL,773,694,230,942,224,11478,4788,500,80,14.4,8594,PRIVATE
AL,629,614,248,866,22,4460,2754,600,47,14.3,5031,PRIVATE
AL,4414,1500,335,908,119,5666,2964,1000,56,15.5,5970,PRIVATE
AL,1471,1281,824,4343,990,2883,2570,300,50,23,4295,PUBLIC
AL,2267,1827,611,2825,144,6735,3395,600,70,12.2,10872,PRIVATE
AL,7593,5972,2682,13780,1599,5424,3530,580,80,17.3,6426,PUBLIC
AL,1797,1260,938,6960,4698,4440,5175,750,96,6.7,16352,PUBLIC
AL,1376,957,445,2727,3394,4960,3500,600,83,12.7,8863,PUBLIC
AL,2328,2110,1047,7516,2943,3108,2850,480,80,13.3,8667,PUBLIC
AL,985,868,645,3477,1929,5715,4430,600,74,18.1,4792,PUBLIC
AR,826,794,662,4539,357,3552,2310,500,54,42.6,2033,PUBLIC
AR,1450,1360,744,2993,1020,3216,2328,450,47,16.2,4618,PUBLIC
AR,708,334,166,530,182,8644,3922,500,79,12.6,14579,PRIVATE
AR,1734,1729,951,3602,939,3460,2650,450,57,19.6,4739,PUBLIC
AR,2688,2633,1488,7212,1707,3720,2580,500,71,20,5128,PUBLIC
AR,3131,2703,1792,7402,1119,3274,2600,600,71,20.5,4252,PUBLIC
AR,218,215,126,570,59,4800,2850,400,49,12.8,8177,PRIVATE
AR,1490,1490,771,2942,997,2880,2400,500,58,19,4540,PUBLIC
AR,823,721,274,954,6,8800,3195,500,82,13.1,8588,PRIVATE
AR,605,405,284,961,99,6398,3672,400,68,13.3,8118,PRIVATE
AR,1766,1322,1194,5753,4058,5352,2435,800,61,14.7,4724,PUBLIC
AR,910,773,450,1310,61,6530,2800,500,63,13.3,6413,PRIVATE
AR,220,210,131,509,97,3952,2292,400,62,18,4061,PRIVATE
AR,792,792,499,2229,270,2340,2240,400,40,17,4653,PUBLIC
AR,3235,3108,2133,9978,1530,5028,3300,500,73,14.8,6820,PUBLIC
AR,1721,1068,806,3128,213,5504,3528,700,71,17.7,6466,PRIVATE
AZ,497,393,169,1364,454,6870,3100,400,56,14.2,6219,PRIVATE
AZ,12809,10308,3761,22593,7585,7434,4850,700,88,18.9,4602,PUBLIC
AZ,5891,4931,1973,11249,2682,6746,3728,620,78,21.7,6157,PUBLIC
AZ,14079,12238,4529,21664,4894,7434,4216,620,91,19.6,9683,PUBLIC
CA,1080,948,504,2032,122,15500,3700,250,47,12.8,9627,PRIVATE
CA,1118,896,459,2058,111,11388,4546,1000,67,16.6,9329,PRIVATE
CA,563,247,247,1427,432,12950,5300,612,72,12.4,8985,PRIVATE
CA,6004,4480,1470,12147,6681,8990,3476,600,88,19.9,6288,PUBLIC
CA,5609,2756,1268,9358,5222,7454,2900,577,53,20.4,8145,PUBLIC
CA,7811,3817,1650,12911,1404,7380,4877,612,72,19.8,8453,PUBLIC
CA,4540,3294,1483,13494,1254,7706,4368,600,90,21.2,7268,PUBLIC
CA,3467,2190,565,5637,678,9979,4200,600,80,16.4,8650,PUBLIC
CA,4348,3026,1234,13724,8161,9096,4500,700,79,19.2,7530,PUBLIC
CA,9402,7020,2151,16407,5550,8384,5110,612,87,19.5,7930,PUBLIC
CA,5385,3539,1259,13165,5937,8964,6776,630,75,17.4,7651,PUBLIC
CA,5210,4094,1420,14392,7263,8820,4224,350,72,17.4,5957,PUBLIC
CA,1042,830,461,2895,1678,8868,5300,650,89,15.3,7333,PUBLIC
CA,322,168,51,237,67,11760,4225,630,90,15.7,10317,PRIVATE
CA,959,771,351,1662,209,16624,5895,600,72,12.8,12692,PRIVATE
CA,1860,767,227,887,1,17000,6010,500,99,9.6,18443,PRIVATE
CA,1377,572,178,654,5,17230,6690,700,100,8.2,21569,PRIVATE
CA,1133,630,220,750,30,17688,5900,650,100,10.4,14820,PRIVATE
CA,855,632,139,569,7,17238,7350,600,95,8.2,18372,PRIVATE
CA,344,264,97,500,331,12600,5520,630,77,10.4,9773,PRIVATE
CA,258,157,43,273,317,11480,5280,630,75,7.8,10362,PRIVATE
CA,213,173,75,648,150,12790,6100,650,56,11.6,8966,PRIVATE
CA,659,530,325,1067,268,12180,3885,683,69,12.6,8294,PRIVATE
CA,1597,969,226,1431,1522,13540,5050,630,66,14.1,10139,PRIVATE
CA,315,275,115,553,9,13975,6200,500,46,15.4,11304,PRIVATE
CA,167,142,89,414,165,6500,3000,500,38,10.7,5612,PRIVATE
CA,346,274,146,704,63,9900,3670,630,59,10.5,8095,PRIVATE
CA,940,668,385,1316,139,11925,3825,630,48,12.3,9157,PRIVATE
CA,809,687,428,1889,217,10178,4190,800,71,16.1,7895,PRIVATE
CA,3821,2037,680,2488,625,18200,6770,500,95,11.6,16185,PRIVATE
CA,385,340,193,784,127,9520,4124,630,63,18.6,8219,PRIVATE
CA,19873,8252,3215,19532,2061,11648,6246,636,93,15.8,13919,PUBLIC
CA,15698,10775,2478,12677,864,12024,5302,790,96,16.1,15934,PUBLIC
CA,1498,1219,306,1369,1587,16530,6205,600,81,8.9,10685,PRIVATE
CA,2306,1721,538,4309,549,13226,6452,750,86,13.6,10074,PRIVATE
CA,4019,2779,888,3891,128,13584,5928,630,88,13.9,10872,PRIVATE
CA,12229,8498,2477,13259,1429,17230,6482,600,90,11.4,17007,PRIVATE
CA,2459,1997,582,2664,299,16320,5326,646,87,11.2,13706,PRIVATE
CA,950,713,351,1276,9,14320,5304,490,77,14.9,8837,PUBLIC
CA,1681,1069,344,1235,30,16249,5699,500,84,13.6,11778,PRIVATE
CA,349,313,111,765,191,13020,5490,900,28,13.5,6944,PRIVATE
CA,52,36,18,88,12,10560,6200,825,100,7.2,31012,PRIVATE
CA,3934,2735,886,3698,217,13600,5940,630,93,15.6,10813,PRIVATE
CA,3768,2662,753,3558,436,13592,5916,545,84,14.2,11677,PRIVATE
CA,688,497,144,641,101,10800,4440,570,55,13.1,8415,PRIVATE
CO,1508,1259,569,1922,232,1672,3730,520,63,27.9,3897,PUBLIC
CO,3207,1577,490,1892,7,17142,4190,450,85,11.3,14664,PRIVATE
CO,5530,4007,1697,8463,1498,7731,4128,540,75,21.5,6309,PUBLIC
CO,9478,6312,2194,15646,1829,8412,4180,470,87,19.2,7850,PUBLIC
CO,3440,2823,1123,3793,486,6198,3320,500,89,19.1,4362,PUBLIC
CO,1584,1456,891,3471,911,5016,3798,540,48,28.8,3871,PUBLIC
CO,1401,1239,605,3716,675,7100,4380,540,63,19.4,5389,PUBLIC
CO,14063,9320,3436,18465,1541,12563,3811,540,90,19.9,8703,PUBLIC
CO,2974,2001,580,2666,554,15192,4695,400,84,15.9,11762,PRIVATE
CO,2702,1623,604,2315,146,5918,3755,500,76,19.4,4599,PUBLIC
CO,826,620,318,2570,1569,8090,5544,540,93,15,6236,PUBLIC
CO,735,583,310,1001,65,6720,3480,400,56,8.6,4588,PRIVATE
CT,353,340,103,416,230,13290,5720,500,90,11.5,8861,PRIVATE
CT,4158,2532,902,6394,3881,5962,4444,500,69,16.7,4900,PUBLIC
CT,3035,1546,438,1630,232,18740,6300,600,86,10.7,14773,PRIVATE
CT,4784,3346,781,2984,1037,15000,6200,700,86,15.1,11220,PRIVATE
CT,1651,1412,336,1411,1914,10600,5020,500,79,15.6,7033,PRIVATE
CT,345,297,92,570,1273,11300,5400,400,30,12.2,9310,PRIVATE
CT,3712,2153,806,2677,714,12030,6140,1000,63,12,8847,PRIVATE
CT,2307,1896,509,1707,1889,11070,5780,400,71,14.8,7120,PRIVATE
CT,3852,2652,1044,5892,2478,5962,4796,700,62,15.8,5245,PUBLIC
CT,292,241,96,543,712,12200,4600,650,87,11.2,8680,PRIVATE
CT,3058,1798,478,1737,244,18810,5690,500,91,10.4,18034,PRIVATE
CT,5081,4040,1194,3768,1415,14220,6000,500,61,10.7,10625,PRIVATE
CT,4772,1973,712,2714,27,19130,5600,1400,90,12.1,16262,PRIVATE
CT,2172,1493,564,2766,1531,5962,4316,650,71,16.9,5719,PUBLIC
CT,10705,2453,1317,5217,83,19840,6510,630,96,5.8,40386,PRIVATE
CT,9735,7187,2064,12478,1660,11656,5072,700,89,16,10178,PUBLIC
DC,1754,1465,505,2159,211,13712,6408,526,90,9.3,12751,PRIVATE
DC,825,645,392,1541,221,4700,5400,663,58,6.6,24182,PRIVATE
DC,7875,5062,1492,5471,1470,17450,6328,700,92,7.6,14745,PRIVATE
DC,11115,2881,1390,5881,406,18300,7131,670,91,7.2,19635,PRIVATE
DC,9776,3164,1666,6705,874,7128,3750,300,78,7.5,18287,PRIVATE
DC,149,70,61,203,138,13780,6915,500,84,5.7,13844,PRIVATE
DC,247,189,100,309,639,11412,6430,500,89,8.3,11806,PRIVATE
DE,633,468,284,823,963,6120,2985,531,25,27.6,6081,PRIVATE
DE,14446,10516,3252,14130,4522,10220,4230,530,82,18.3,10650,PRIVATE
DE,980,807,350,872,448,9890,4674,500,52,14.4,6243,PRIVATE
FL,990,784,279,1811,3144,11290,5360,600,76,12.6,9084,PRIVATE
FL,1646,1150,542,2128,82,5188,3396,650,48,13.8,6817,PRIVATE
FL,1947,1580,523,1863,233,13900,4140,750,90,10.6,8923,PRIVATE
FL,161,156,101,409,43,5200,3400,500,55,15.1,6724,PRIVATE
FL,3151,2584,958,4772,856,7800,3750,570,37,16.5,12878,PRIVATE
FL,4880,2899,1463,7931,1357,6651,2668,600,87,11.8,7243,PUBLIC
FL,3181,2089,826,6035,6414,6700,4060,600,90,15.6,8717,PUBLIC
FL,2400,1800,557,1312,176,4160,3190,500,38,17.1,5304,PRIVATE
FL,1422,1109,366,1363,23,15360,4080,600,82,12.8,15003,PRIVATE
FL,1381,1040,374,1506,970,8025,4865,400,65,17.4,6339,PRIVATE
FL,11651,8683,3023,18906,3242,6680,4060,600,80,23.1,7250,PUBLIC
FL,1344,1008,305,1556,517,9600,4380,700,61,12.1,7679,PRIVATE
FL,1292,956,315,1250,200,13900,5600,400,69,19,12614,PRIVATE
FL,1025,770,257,1893,1220,8550,4740,720,90,20.4,12523,PRIVATE
FL,1777,1151,382,1668,1052,16425,5220,955,81,13.3,11561,PRIVATE
FL,990,683,201,3400,3731,9150,4650,525,47,72.4,3379,PRIVATE
FL,1557,1227,489,1964,81,12315,4565,600,85,12.5,10307,PRIVATE
FL,12445,8836,3623,24470,3286,7090,4180,630,88,13.4,14737,PUBLIC
FL,7122,5386,1643,7760,876,16500,6526,630,82,5.9,17500,PRIVATE
FL,7589,4676,1876,14770,10962,6760,3776,500,84,17,11020,PUBLIC
FL,280,143,79,327,110,5590,2900,650,53,15.1,4839,PRIVATE
FL,6986,2959,1918,12330,7152,6618,4234,700,80,22.2,6742,PUBLIC
FL,1558,1254,472,3754,2477,6172,3994,541,83,23.4,8488,PUBLIC
FL,1415,714,338,1345,44,5120,3200,500,52,18.1,3930,PRIVATE
FL,400,280,134,397,62,6200,3270,320,53,14.4,7774,PRIVATE
FL,3306,2079,1071,10208,9310,6597,2494,800,81,13.9,6722,PUBLIC
FL,1800,1253,560,3876,3588,6634,4360,600,82,17.8,6104,PUBLIC
GA,417,349,137,510,63,12960,5450,450,92,7.7,19016,PRIVATE
GA,1461,1097,580,2035,321,4535,2754,675,65,17,6238,PUBLIC
GA,2186,1835,1263,2796,2391,5604,4192,450,45,10.5,5667,PUBLIC
GA,4502,2497,790,2844,88,7908,4238,600,63,14.9,9345,PRIVATE
GA,1858,1221,480,1620,49,8050,3940,350,80,16.3,10511,PRIVATE
GA,367,274,158,917,479,9592,5879,500,71,13.7,5935,PRIVATE
GA,1436,1228,1202,1320,822,4371,2370,500,62,12.6,4900,PRIVATE
GA,1348,1050,774,2873,1736,2763,3375,800,61,16.5,5332,PUBLIC
GA,8506,4168,1236,5544,192,17600,6000,600,97,5,28457,PRIVATE
GA,7837,4527,2276,8528,654,6489,4438,795,92,19.3,11271,PUBLIC
GA,652,503,297,2229,1283,4023,3219,465,52,17.3,6208,PUBLIC
GA,8388,5423,3034,11404,1007,4571,2987,450,60,19.7,4830,PUBLIC
GA,3793,2341,1238,7732,9054,6744,2655,720,87,19,7762,PUBLIC
GA,544,399,177,600,363,6987,3585,750,77,12.5,9067,PRIVATE
GA,2286,1668,564,2943,1260,11985,4081,400,93,9.2,8995,PRIVATE
GA,3708,1678,722,2852,153,7050,5490,250,71,17.8,8122,PRIVATE
GA,792,649,186,769,377,12900,4340,600,91,13.1,8568,PRIVATE
GA,1322,636,225,589,97,5460,2814,500,48,10.9,8967,PRIVATE
GA,663,562,127,641,63,5640,3620,600,89,13.2,7309,PRIVATE
GA,540,445,165,1115,111,7210,3600,500,62,13.2,7356,PRIVATE
GA,3713,1237,443,1971,107,7000,5565,660,73,12.5,9988,PRIVATE
GA,11220,7871,3320,19553,2748,5697,3600,525,88,14.7,7881,PUBLIC
GA,3674,3247,1586,5982,1418,4617,2940,600,67,20,5374,PUBLIC
GA,305,287,109,382,46,11500,4500,515,68,7.6,11605,PRIVATE
GA,3668,2604,1331,4538,1179,4650,2973,490,59,19.2,5687,PUBLIC
GA,1868,1788,829,3467,1167,4457,2739,450,70,21.4,4706,PUBLIC
GA,407,317,181,468,31,9700,3744,470,73,19,8614,PRIVATE
GA,1109,688,386,1897,208,8325,5000,1200,14,16.1,6874,PRIVATE
HI,621,546,103,766,1154,10600,5490,700,63,14.1,5073,PRIVATE
HI,3580,2603,1627,11028,2411,4460,3038,687,85,11.8,12833,PUBLIC
HI,1827,1409,1169,4312,2302,6300,6500,500,59,23.3,5301,PRIVATE
HI,1499,779,500,2082,871,2920,4270,714,72,15.8,11460,PUBLIC
IA,392,351,155,738,430,10260,3597,600,39,13.1,8355,PRIVATE
IA,860,688,285,1928,442,13306,3797,450,62,8.8,6333,PRIVATE
IA,1283,1113,401,1355,40,10938,3660,650,76,13.5,8444,PRIVATE
IA,460,340,167,604,350,10740,3676,350,67,11,7963,PRIVATE
IA,1006,742,275,1127,205,13925,4390,500,73,12.7,10141,PRIVATE
IA,1538,1329,383,1140,10,15248,4323,550,71,12.2,10340,PRIVATE
IA,604,562,328,1048,56,9800,2650,450,61,12.5,7325,PRIVATE
IA,2799,2573,839,3322,726,13420,4770,560,88,15,9473,PRIVATE
IA,555,414,242,996,2281,9100,3100,550,51,23.6,5609,PRIVATE
IA,535,511,233,1098,380,9820,3360,570,32,12.6,6687,PRIVATE
IA,2039,1389,432,1333,30,15688,4618,400,88,9.5,18979,PRIVATE
IA,8427,7424,3441,18676,1715,7550,3224,640,81,19.2,8420,PUBLIC
IA,443,291,127,563,427,9850,3400,500,45,17.2,7349,PRIVATE
IA,1641,1283,527,1663,170,11200,4000,500,61,14.2,7578,PRIVATE
IA,1549,1392,587,2269,85,13240,3560,600,73,13.8,8949,PRIVATE
IA,328,243,93,663,340,9980,3640,500,44,12.3,7791,PRIVATE
IA,586,533,239,950,228,10520,3678,500,48,13,8111,PRIVATE
IA,368,317,159,806,542,10500,3555,500,44,11.3,6695,PRIVATE
IA,325,284,95,364,88,9900,3650,500,32,13.6,6525,PRIVATE
IA,860,811,366,1040,52,9900,3075,300,68,14.9,6357,PRIVATE
IA,1016,872,300,1116,602,11250,4980,550,66,15.8,7411,PRIVATE
IA,897,718,276,1345,390,10450,4020,500,56,14.1,7444,PRIVATE
IA,4144,3379,1853,10135,1448,6197,2930,595,78,16.3,6333,PUBLIC
IA,576,558,137,662,131,10430,3620,400,85,16.5,8767,PRIVATE
IA,663,452,192,1481,1160,8840,3060,500,69,17.4,3733,PRIVATE
IA,1231,1074,345,1295,105,11600,3610,400,66,12.4,7735,PRIVATE
IA,326,294,140,630,107,10000,3110,495,35,13.3,7057,PRIVATE
ID,587,479,158,678,41,13500,3335,500,67,9.4,9727,PRIVATE
ID,1001,551,428,1970,1256,5120,3190,908,60,12.1,6997,PUBLIC
ID,616,514,385,1115,60,9840,2820,450,59,14.8,6261,PRIVATE
ID,3133,2799,1337,7242,1431,5962,3540,832,82,13.5,8805,PUBLIC
IL,1879,1658,497,1950,38,13353,4173,540,78,12.7,9220,PRIVATE
IL,261,192,111,453,266,9690,4300,500,57,9.7,9337,PRIVATE
IL,500,336,156,421,27,6500,2700,500,76,14.3,8377,PRIVATE
IL,3767,3414,1061,4531,643,10870,4440,2000,75,14.4,7671,PRIVATE
IL,422,305,160,781,240,9810,4160,400,52,17.5,9729,PRIVATE
IL,2419,2160,1117,4852,1991,7310,4350,500,18,13.4,5682,PRIVATE
IL,528,403,186,1168,145,9216,4191,400,56,12.1,7309,PRIVATE
IL,4815,3551,1227,6069,3719,11214,4932,600,69,16.1,8322,PRIVATE
IL,5597,4253,1565,9161,845,5710,3066,120,62,16.2,5682,PUBLIC
IL,560,454,113,484,16,10955,3450,330,62,10.6,9552,PRIVATE
IL,510,387,194,771,53,10310,4530,400,57,14.3,8222,PRIVATE
IL,894,787,262,909,28,8050,3850,600,75,15.6,7348,PRIVATE
IL,1756,1360,478,1911,626,14550,4620,500,80,12.3,12851,PRIVATE
IL,8681,6695,2408,15701,1823,7799,3403,537,77,21,5569,PUBLIC
IL,3050,1342,471,1818,23,14360,4090,400,77,12.9,9605,PRIVATE
IL,313,228,137,552,67,9414,4554,500,34,10.6,7840,PRIVATE
IL,150,150,121,338,33,6900,4851,800,24,15.9,8812,PRIVATE
IL,1040,845,286,967,24,15747,4062,400,88,12.7,13224,PRIVATE
IL,979,638,271,968,20,16880,3970,920,91,10.7,15687,PRIVATE
IL,1154,1050,395,2192,1423,10560,4520,500,36,14.3,7701,PRIVATE
IL,3579,2959,868,5244,3417,11500,5330,700,94,6.2,13009,PRIVATE
IL,740,558,177,628,63,9620,3750,550,49,10.8,10642,PRIVATE
